
2024-08-07,1200.0,1200.0,1200.0,1200.0,0.0,41,49200,49200
2023-12-06,1200.0,1200.0,1200.0,1200.0,0.0,9,10800,10800
2023-11-10,1200.0,1200.0,1200.0,1200.0,0.0,19,22800,22800
2023-06-12,1200.0,1200.0,1200.0,1200.0,0.0,12,14400,14400
2023-04-10,1200.0,1200.0,1200.0,1200.0,0.0,14,16800,16800
2023-01-23,1200.0,1200.0,1200.0,1200.0,0.0,35,42000,42000
2023-01-18,1200.0,1200.0,1200.0,1200.0,0.0,7,8400,8400
2023-01-03,1200.0,1200.0,1200.0,1200.0,0.0,102,122400,122400
2022-11-07,1200.0,1200.0,1200.0,1200.0,0.0,19,22800,22800
2022-09-16,1200.0,1200.0,1200.0,1200.0,0.0,22,26400,26400
2017-08-11,1200.0,1200.0,1200.0,1200.0,0.0,55,66000,66000
2017-01-16,1200.0,1200.0,1200.0,1200.0,0.0,65,78000,78000
